Flight_ID,Airline,Aircraft_Type,Aircraft_Age_Years,Flight_Phase,Departure,Arrival,Route_,Flight_Duration,Last_Maintenance_Hrs,Engine_Hours,Pilot_Experience_Hrs,CoPilot_Experience_Hrs,Number_of_Crew,Total_Onboard,Cargo_Weight_Kg,Date,Time_UTC,Season,Visibility_Km,Visibility,Wind_Speed_Kmph,Wind_Direction_Deg,Temperature_C,Precipitation_mm,Weather_Condition,Turbulence,Accident
F20218152022,Alliance Air,Boeing 737,7,En_Route,MAA,IXB,MAA-IXB,3.22,570,11637,16973,11115,10,326,8328,08/22/2022,08:21,Winter,4.05,4.77,75,319,24.3,2.1,Rain,None,1
F20265013868,FlyBig,Airbus A320,6,En_Route,BLR,GOI,BLR-GOI,0.82,788,9453,7544,1283,13,328,8375,06/12/2024,17:26,Summer,7.5,4.61,20,18,38.2,19.34,Cloudy,Moderate,1
F20218644291,Air India,Boeing 787,21,Takeoff,IXB,DEL,IXB-IXB,1.13,1757,18636,20746,10554,5,227,8988,09/02/2022,08:44,Summer,0.48,2.07,62,165,29.0,28.16,Dust_Storm,Severe,1
F20256235096,Akasa Air,Airbus A321,12,Takeoff,GOI,BOM,GOI-BOM,3.29,1334,1488,7010,3936,12,317,1042,05/15/2020,08:55,Monsoon,5.09,3.55,23,211,5.3,27.36,Rain,Moderate,1
F20237157310,Air India,ATR 72,14,En_Route,BOM,GOI,BOM-GOI,4.62,1893,4011,18487,309,10,31,4044,04/27/2021,13:03,Winter,9.82,5.24,34,170,40.8,34.12,Rain,Severe,0
F20265802443,Alliance Air,Airbus A321,3,Taxi,BLR,DEL,BLR-DEL,1.36,1008,12953,8107,11370,3,86,6154,02/23/2023,19:38,Summer,2.27,2.38,32,131,42.7,14.65,Rain,None,0
F20217773776,Vistara,Boeing 737,26,Taxi,HYD,BOM,HYD-BOM,4.91,1949,3126,10194,3569,10,272,8170,08/08/2024,22:20,Monsoon,3.46,4.83,56,17,20.6,18.75,Dust_Storm,Severe,1
F20268527022,SpiceJet,Boeing 737,23,Landing,MAA,BBI,MAA-BBI,4.58,981,5722,21257,3747,3,124,3158,12/08/2021,17:23,Winter,6.62,3.45,70,140,37.3,2.06,Clear,Light,0
F20252402778,Akasa Air,Airbus A320,16,Takeoff,HYD,PNQ,HYD-PNQ,1.55,1821,17553,12776,5825,5,179,1285,12/15/2021,04:02,Monsoon,8.78,4.0,21,357,7.8,31.95,Dust_Storm,Moderate,0
F20244668952,Alliance Air,Dornier Do 228,11,Landing,AMD,DEL,AMD-AMD,0.93,891,2171,9905,3914,8,208,9564,03/06/2023,12:29,Summer,9.51,6.65,66,127,37.5,33.94,Clear,Light,0
F20238762241,IndiGo,Embraer E190,2,Landing,BOM,GAU,BOM-GAU,2.04,1428,11658,14163,7298,10,84,6028,05/20/2021,04:46,Winter,9.28,9.75,49,242,30.1,44.43,Clear,Moderate,0
F20247230803,SpiceJet,Boeing 787,12,Taxi,BOM,MAA,BOM-MAA,2.69,1009,13855,22132,6800,12,69,4782,11/25/2025,12:25,Monsoon,4.15,6.98,56,120,24.7,33.34,Dust_Storm,Severe,0
F20227523973,SpiceJet,Dornier Do 228,11,Landing,PNQ,ATQ,PNQ-ATQ,4.96,1875,5054,6016,5285,13,333,2060,09/16/2023,08:25,Monsoon,4.49,6.6,60,23,10.9,49.85,Cloudy,Moderate,1
F20208425094,Air India,Embraer E190,19,Taxi,DEL,CCU,DEL-CCU,2.12,1030,11142,20852,8966,13,258,1329,05/20/2020,16:15,Summer,0.84,5.33,74,55,18.0,10.26,Cloudy,Light,1
F20206649616,FlyBig,Airbus A320,15,Taxi,CCU,PNQ,CCU-PNQ,2.83,570,15649,15354,9595,3,306,9179,12/06/2022,12:31,Monsoon,0.41,2.02,30,187,7.7,5.35,Thunderstorm,Moderate,1
F20217977762,IndiGo,Dornier Do 228,24,Parked,CCU,DEL,CCU-CCU,2.56,1615,5142,8409,10269,2,24,9627,11/09/2025,15:56,Summer,6.37,5.66,71,291,21.7,26.47,Dust_Storm,None,0
F20236910650,Alliance Air,Embraer E190,19,En_Route,AMD,IXB,AMD-IXB,0.93,1216,17503,7395,13073,10,84,8988,06/30/2025,13:55,Winter,8.79,8.1,66,47,35.9,42.4,Rain,Moderate,0
F20222798003,Alliance Air,Boeing 787,16,Parked,GAU,DEL,GAU-GAU,4.02,842,19785,18882,9633,7,123,8200,09/13/2020,21:14,Monsoon,6.37,8.43,42,211,26.3,37.47,Thunderstorm,Moderate,0
F20201654975,FlyBig,Embraer E190,15,Taxi,GAU,BOM,GAU-BOM,2.97,1669,14470,12607,4321,12,95,7132,07/01/2025,23:45,Winter,8.93,5.64,22,113,23.9,1.47,Clear,Moderate,0
F20258914671,IndiGo,Boeing 787,22,Parked,BBI,HYD,BBI-HYD,3.54,1361,12324,14438,8398,7,109,9893,12/14/2025,23:17,Summer,1.91,9.3,1,179,12.7,14.03,Cloudy,Light,0
F20214456886,IndiGo,Boeing 787,24,Parked,AMD,PNQ,AMD-PNQ,0.52,1592,7581,3305,3818,3,15,5388,02/06/2020,19:53,Winter,1.81,3.57,20,288,44.2,36.51,Clear,None,0
F20201701559,Alliance Air,Airbus A320,2,En_Route,CCU,AMD,CCU-AMD,2.53,1334,7575,21850,5031,8,263,7074,05/20/2020,20:23,Monsoon,9.44,5.37,8,283,26.0,36.59,Cloudy,Severe,1
F20224765312,Alliance Air,Dornier Do 228,7,Takeoff,AMD,DEL,AMD-DEL,4.79,423,9098,11707,1847,11,330,6428,02/28/2021,12:48,Monsoon,9.4,4.21,43,11,20.4,27.58,Dust_Storm,Severe,1
F20223246035,Star Air,Dornier Do 228,4,Taxi,DEL,CCU,DEL-CCU,2.99,755,7066,4758,320,8,302,2785,03/28/2026,14:35,Summer,9.33,0.91,37,222,34.3,39.13,Clear,Moderate,1
F20233244892,FlyBig,Dornier Do 228,28,Landing,GOI,GAU,GOI-GAU,3.13,1106,10695,5957,7556,4,257,3281,02/07/2020,03:24,Winter,9.33,7.86,79,254,29.3,16.88,Dust_Storm,Moderate,1
F20261393906,Star Air,Boeing 787,16,Taxi,DEL,GOI,DEL-GOI,0.57,1127,1258,12704,11519,2,248,2440,08/04/2025,02:11,Summer,5.61,4.75,3,146,22.6,26.62,Thunderstorm,Light,1
F20236527556,Air India,Boeing 737,23,Takeoff,BOM,DEL,BOM-DEL,1.44,1312,6865,11809,5858,10,320,9813,09/21/2021,13:56,Winter,7.77,7.47,8,337,15.2,36.24,Dust_Storm,Severe,1
F20232457288,IndiGo,ATR 72,9,Landing,AMD,PNQ,AMD-PNQ,2.51,1947,17040,24314,11269,7,206,5196,11/06/2025,00:28,Monsoon,0.81,0.17,49,226,45.8,25.96,Clear,None,0
F20202405890,Vistara,Airbus A320,4,En_Route,ATQ,GAU,ATQ-GAU,2.05,112,1397,15326,11371,4,120,6702,05/04/2025,14:07,Monsoon,2.28,4.83,56,194,45.3,26.27,Clear,Light,0
F20236513846,Air India,Dornier Do 228,29,En_Route,BBI,GAU,BBI-GAU,3.05,1504,17891,16995,14107,13,211,3692,11/12/2020,01:53,Monsoon,8.4,6.32,32,299,12.3,21.74,Rain,Moderate,0
F20234859526,Star Air,Dornier Do 228,4,En_Route,PNQ,GOI,PNQ-GOI,0.85,1385,7202,24807,9891,3,336,4047,08/21/2020,13:34,Monsoon,5.29,2.52,55,153,16.8,43.87,Thunderstorm,Light,1
F20235865057,SpiceJet,Dornier Do 228,5,Parked,GOI,IXB,GOI-IXB,1.32,1678,12699,19433,12174,9,133,7076,12/28/2020,17:06,Summer,9.94,1.51,56,182,22.0,40.18,Dust_Storm,Light,0
F20234433832,Akasa Air,Dornier Do 228,4,Parked,MAA,ATQ,MAA-ATQ,2.85,1577,14107,11041,6559,9,199,4721,04/23/2020,14:35,Summer,9.78,7.4,12,326,23.1,49.36,Dust_Storm,Moderate,0
F20251911353,IndiGo,ATR 72,4,Landing,GAU,BLR,GAU-BLR,1.89,1551,8342,23628,4926,13,232,9432,10/10/2025,09:16,Summer,5.52,0.62,63,278,32.1,13.04,Dust_Storm,None,1
F20264459007,Star Air,Boeing 737,17,Takeoff,ATQ,IXB,ATQ-IXB,3.05,795,18737,4091,11680,13,17,9678,04/24/2024,05:26,Monsoon,9.66,9.44,15,218,14.1,48.16,Thunderstorm,Moderate,0
F20226854533,Vistara,Embraer E190,4,Takeoff,BBI,IXB,BBI-IXB,1.93,1052,7254,17743,13901,6,41,6906,04/21/2022,14:55,Monsoon,2.77,8.53,48,255,38.8,1.38,Thunderstorm,Light,0
F20239413442,Akasa Air,Airbus A321,24,Takeoff,MAA,ATQ,MAA-ATQ,2.38,868,3036,9976,2742,7,33,1606,12/18/2022,18:04,Monsoon,4.25,6.47,29,264,9.0,16.72,Dust_Storm,Moderate,0
F20236536846,IndiGo,Dornier Do 228,19,Landing,IXB,BBI,IXB-BBI,1.76,246,19827,9842,8141,9,164,6181,10/12/2023,11:18,Winter,5.27,1.41,31,357,32.4,20.29,Thunderstorm,Severe,0
F20222643266,Air India,Embraer E190,16,En_Route,ATQ,BOM,ATQ-BOM,4.3,695,5937,12824,5192,4,243,9491,10/08/2021,09:42,Monsoon,8.85,4.72,65,233,30.7,36.23,Thunderstorm,Light,1
F20241316473,Air India,Boeing 787,17,Landing,GAU,IXB,GAU-IXB,4.22,1785,16728,20655,14396,6,340,2954,09/28/2021,10:31,Summer,8.59,4.48,72,274,7.0,14.65,Dust_Storm,Light,1
F20241602725,Akasa Air,Embraer E190,8,Landing,AMD,BOM,AMD-BOM,3.0,536,15721,21028,14388,10,242,7117,08/19/2022,02:22,Monsoon,1.54,5.86,32,76,25.1,28.85,Dust_Storm,Severe,1
F20249752381,FlyBig,Boeing 737,26,Taxi,ATQ,AMD,ATQ-AMD,2.73,1593,18694,24225,13604,6,247,9888,06/29/2023,11:56,Winter,9.77,2.55,69,167,35.3,30.95,Rain,Moderate,1
F20225625281,Air India,Airbus A320,13,Parked,HYD,AMD,HYD-AMD,1.22,797,16310,20370,2815,9,71,2304,10/28/2025,05:33,Monsoon,1.78,10.0,28,48,34.9,0.91,Cloudy,Light,0
F20239531639,Air India,Boeing 737,2,Takeoff,BLR,PNQ,BLR-PNQ,2.75,1080,7299,15885,765,12,319,9317,07/28/2021,18:34,Monsoon,9.58,3.83,2,342,37.1,43.73,Rain,Severe,1
F20225040310,Alliance Air,Boeing 787,17,Parked,ATQ,BLR,ATQ-BLR,3.95,729,12390,11870,3183,8,214,4749,08/24/2021,02:47,Winter,4.0,4.34,11,38,5.3,35.41,Cloudy,Moderate,0
F20246637117,Star Air,ATR 72,17,Parked,MAA,BBI,MAA-BBI,1.93,308,10194,15073,6854,12,104,5742,10/04/2023,17:14,Monsoon,1.09,5.48,18,25,21.0,9.86,Thunderstorm,Severe,0
F20201559889,Akasa Air,Airbus A320,17,En_Route,BOM,GOI,BOM-GOI,4.56,1004,16217,19652,5518,10,107,6896,04/20/2022,06:15,Monsoon,6.39,1.5,76,69,40.8,18.84,Dust_Storm,Light,0
F20218210098,Air India,Boeing 787,18,Parked,AMD,GAU,AMD-GAU,4.75,432,9342,13931,10283,2,182,3610,03/13/2020,17:45,Winter,2.0,6.58,4,320,24.4,25.41,Rain,Moderate,0
F20208282642,FlyBig,Boeing 737,14,Landing,MAA,BLR,MAA-BLR,4.72,567,10030,656,5501,2,335,1159,12/21/2024,04:17,Summer,0.22,9.02,63,315,16.6,14.82,Cloudy,Moderate,1
F20268054958,FlyBig,Dornier Do 228,4,Taxi,DEL,HYD,DEL-HYD,4.75,1490,7270,9954,7031,3,189,5304,02/05/2022,16:58,Winter,2.22,6.46,65,301,30.3,48.0,Clear,Moderate,0
F20212047095,Vistara,Boeing 787,23,Parked,CCU,DEL,CCU-CCU,2.75,1981,2780,24517,3814,12,39,6999,06/06/2023,08:44,Summer,2.37,7.43,9,338,41.6,49.76,Cloudy,Moderate,0
F20216428611,Akasa Air,Airbus A320,2,Takeoff,MAA,GAU,MAA-GAU,3.13,1244,18821,24270,8087,7,217,793,12/17/2024,08:15,Summer,6.48,6.9,0,82,28.8,35.55,Rain,None,0
F20203575275,Vistara,Airbus A320,26,Landing,HYD,BLR,HYD-BLR,1.67,305,9289,6630,1337,5,195,1167,12/05/2021,16:15,Monsoon,8.33,5.98,26,105,10.9,40.98,Dust_Storm,None,0
F20215454238,FlyBig,Airbus A320,22,Landing,IXB,BBI,IXB-BBI,1.13,110,4480,20043,1728,11,83,5465,08/01/2020,21:05,Summer,2.07,7.25,8,179,31.3,33.01,Dust_Storm,Severe,0
F20226216931,FlyBig,Airbus A321,19,Parked,DEL,AMD,DEL-AMD,4.72,1662,11686,8312,3736,5,311,5164,10/22/2023,16:38,Winter,1.4,9.54,67,320,7.6,35.04,Cloudy,None,1
F20265683290,Akasa Air,Boeing 737,18,Takeoff,PNQ,BLR,PNQ-BLR,3.99,1163,12695,6109,6527,7,116,3618,05/02/2025,14:23,Winter,1.54,1.0,66,288,30.6,38.34,Thunderstorm,Moderate,0
F20245303190,Vistara,Embraer E190,12,En_Route,GOI,BOM,GOI-BOM,3.88,696,12724,13396,14743,7,121,4931,02/12/2025,10:27,Monsoon,6.56,0.92,10,165,11.6,37.33,Clear,None,0
F20216065710,Alliance Air,Airbus A321,4,Taxi,CCU,BBI,CCU-BBI,2.17,770,19841,15078,2245,3,193,6641,09/28/2021,12:20,Summer,7.84,6.39,52,76,27.7,11.11,Dust_Storm,None,0
F20257760778,Vistara,Airbus A321,9,Takeoff,HYD,IXB,HYD-IXB,2.62,1222,11153,21555,4866,2,24,3717,07/05/2024,04:27,Monsoon,1.11,4.72,38,284,33.4,19.92,Clear,None,0
F20236189804,Vistara,Embraer E190,12,Landing,AMD,GOI,AMD-GOI,4.37,1522,7884,19884,3630,11,137,3722,10/08/2022,22:05,Winter,9.87,8.91,68,143,27.3,1.94,Dust_Storm,None,0
F20221556305,IndiGo,Boeing 737,3,En_Route,ATQ,DEL,ATQ-ATQ,1.39,1134,9765,23983,6278,7,56,5510,02/12/2022,00:22,Summer,0.75,0.55,60,136,43.4,29.73,Cloudy,None,0
F20219067740,Star Air,Boeing 787,17,Takeoff,BOM,DEL,BOM-BOM,4.05,814,7664,10714,10385,10,87,9640,02/21/2024,23:35,Winter,8.2,2.48,3,67,30.9,40.91,Dust_Storm,Severe,0
F20269679548,Alliance Air,Embraer E190,6,Parked,CCU,GOI,CCU-GOI,2.96,899,2668,9412,868,2,294,8990,02/12/2021,11:45,Monsoon,5.36,9.49,31,337,47.8,38.51,Rain,Severe,1
F20236680483,Air India,Airbus A320,24,En_Route,BOM,CCU,BOM-CCU,3.26,419,11769,22092,1794,12,327,2708,06/19/2021,00:42,Monsoon,3.75,9.19,11,53,46.4,12.82,Dust_Storm,None,1
F20266075451,SpiceJet,Boeing 787,22,Parked,BLR,AMD,BLR-AMD,3.25,1895,5196,19248,5775,4,183,3377,09/02/2020,01:17,Summer,6.05,7.01,50,63,13.4,2.45,Clear,Moderate,0
F20265929274,FlyBig,Boeing 787,22,Takeoff,ATQ,DEL,ATQ-DEL,2.11,737,10242,5010,10745,3,77,358,04/28/2025,01:58,Winter,8.26,0.19,63,246,24.8,49.44,Thunderstorm,Light,0
F20214255014,SpiceJet,Dornier Do 228,15,Takeoff,HYD,BOM,HYD-BOM,3.39,323,19580,23757,2048,9,52,7553,07/23/2024,06:02,Summer,1.56,8.86,78,147,22.3,18.67,Cloudy,Moderate,0
F20228876612,SpiceJet,ATR 72,28,En_Route,IXB,DEL,IXB-IXB,1.71,1459,14777,6568,7339,10,182,4271,07/23/2020,18:48,Monsoon,8.43,7.76,40,21,42.4,42.1,Cloudy,None,0
F20231356941,Star Air,Boeing 787,28,Landing,BLR,ATQ,BLR-ATQ,0.83,593,11153,4510,8631,3,285,7283,01/14/2025,15:23,Summer,1.85,0.15,36,196,28.3,30.02,Cloudy,Light,1
F20207430974,FlyBig,Boeing 787,7,Taxi,DEL,GAU,DEL-GAU,3.68,1555,7147,23280,3974,11,152,271,05/21/2022,09:58,Summer,4.04,0.77,13,274,19.1,4.14,Rain,Severe,0
